Title,IMDb Link
Big Fish,https://www.imdb.com/title/tt0319061/?ref_=sr_i_254
Room,https://www.imdb.com/title/tt3170832/?ref_=sr_i_255
The Princess Bride,https://www.imdb.com/title/tt0093779/?ref_=sr_i_256
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=sr_i_257
Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=sr_i_258
Midnight in Paris,https://www.imdb.com/title/tt1605783/?ref_=sr_i_259
Princess Mononoke,https://www.imdb.com/title/tt0119698/?ref_=sr_i_260
Crash,https://www.imdb.com/title/tt0375679/?ref_=sr_i_261
3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=sr_i_262
The Breakfast Club,https://www.imdb.com/title/tt0088847/?ref_=sr_i_263
Zack Snyder's Justice League,https://www.imdb.com/title/tt12361974/?ref_=sr_i_264
Platoon,https://www.imdb.com/title/tt0091763/?ref_=sr_i_265
E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/?ref_=sr_i_266
Unforgiven,https://www.imdb.com/title/tt0105695/?ref_=sr_i_267
The Irishman,https://www.imdb.com/title/tt1302006/?ref_=sr_i_268
The Game,https://www.imdb.com/title/tt0119174/?ref_=sr_i_269
The Wizard of Oz,https://www.imdb.com/title/tt0032138/?ref_=sr_i_270
Amadeus,https://www.imdb.com/title/tt0086879/?ref_=sr_i_271
Vertigo,https://www.imdb.com/title/tt0052357/?ref_=sr_i_272
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=sr_i_273
Black Hawk Down,https://www.imdb.com/title/tt0265086/?ref_=sr_i_274
The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=sr_i_275
Monty Python's Life of Brian,https://www.imdb.com/title/tt0079470/?ref_=sr_i_276
The Machinist,https://www.imdb.com/title/tt0361862/?ref_=sr_i_277
The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=sr_i_278
Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/?ref_=sr_i_279
The Fault in Our Stars,https://www.imdb.com/title/tt2582846/?ref_=sr_i_280
About Time,https://www.imdb.com/title/tt2194499/?ref_=sr_i_281
The Others,https://www.imdb.com/title/tt0230600/?ref_=sr_i_282
Soul,https://www.imdb.com/title/tt2948372/?ref_=sr_i_283
Mulholland Drive,https://www.imdb.com/title/tt0166924/?ref_=sr_i_284
My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=sr_i_285
Man on Fire,https://www.imdb.com/title/tt0328107/?ref_=sr_i_286
Ferris Bueller's Day Off,https://www.imdb.com/title/tt0091042/?ref_=sr_i_287
The Lego Movie,https://www.imdb.com/title/tt1490017/?ref_=sr_i_288
Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=sr_i_289
The Fighter,https://www.imdb.com/title/tt0964517/?ref_=sr_i_290
The Nightmare Before Christmas,https://www.imdb.com/title/tt0107688/?ref_=sr_i_291
Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=sr_i_292
Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/?ref_=sr_i_293
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=sr_i_294
Downfall,https://www.imdb.com/title/tt0363163/?ref_=sr_i_295
The Hunt,https://www.imdb.com/title/tt2106476/?ref_=sr_i_296
Moon,https://www.imdb.com/title/tt1182345/?ref_=sr_i_297
Hotel Rwanda,https://www.imdb.com/title/tt0395169/?ref_=sr_i_298
Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=sr_i_299
How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/?ref_=sr_i_300
